khung,thanh_phan,buoc,n,mae_mo_hinh_usd,mae_giu_delta_usd,mae_mot_buoc_usd,mape_mo_hinh_pct,rmse_mo_hinh_usd,gia_tri_tb_usd
D1,close,1,209.0,8.236526613992421,7.449340447762123,7.243827719301397,0.3385720820579785,11.559930470148595,2501.761866028708
D1,close,2,209.0,8.404572804694102,9.097032744617623,7.189394559468035,0.3347918012190209,12.24168518197064,2502.6125071770334
D1,close,3,209.0,9.788623982259987,10.208505810535843,7.766396341574068,0.38648179317274645,15.325220652133773,2503.9883779904303
D1,high,1,209.0,8.253008300385355,7.786615259323688,6.996951511174168,0.3250658839966117,14.081406899904323,2518.354057416268
D1,high,2,209.0,11.005661275876996,10.40563878895985,8.331479651344534,0.4398452894117703,17.929469745012828,2522.246148325359
D1,high,3,209.0,13.174739317256705,12.90162031696367,9.184190815516061,0.48497920632287855,36.71605869169197,2522.142684210526
D1,low,1,209.0,8.793907793268662,7.365549875690563,6.616710402535691,0.36637407975449066,14.886996311124683,2481.596205741627
D1,low,2,209.0,7.8339378270296605,7.672493321218467,5.9195540962336635,0.3211908793678639,10.485142125900131,2482.6047942583727
D1,low,3,209.0,11.186983598814694,11.365640927550006,8.134947171155053,0.4346481407026621,28.178850525227762,2484.7422009569377
D1,open,1,209.0,8.076359575114965,8.095260012122104,1.541154624546224,0.30916995525762686,14.309752299382168,2496.852545454545
D1,open,2,209.0,9.408559811842869,9.071283437061535,1.534168254882434,0.37524240598572406,14.43753589874568,2501.740708133971
D1,open,3,209.0,9.78339661736525,9.753539970264695,1.2001603689720999,0.39234124362918804,15.429568448736795,2502.549899521531
